PhraseId,SentenceId,Phrase,Sentiment,Tokens,Sentiment_Words
110715,5866,"` In this poor remake of such a well loved classic , Parker exposes the limitations of his skill and the basic flaws in his vision . '",0,"['poor', 'remake', 'well', 'loved', 'classic', 'parker', 'exposes', 'limitations', 'skill', 'basic', 'flaws', 'vision']","['poor', 'remake', 'well', 'loved', 'classic', 'exposes', 'limitations', 'skill', 'basic', 'flaws', 'vision']"
135234,7302,Without any redeeming value whatsoever .,0,"['without', 'redeeming', 'value', 'whatsoever']","['without', 'redeeming', 'value', 'whatsoever']"
73266,3743,A cheap scam put together by some cynical creeps at Revolution Studios and Imagine Entertainment to make the suckers out there surrender $ 9 and 93 minutes of unrecoverable life .,0,"['cheap', 'scam', 'put', 'together', 'cynical', 'creeps', 'revolution', 'studios', 'imagine', 'entertainment', 'make', 'suckers', 'surrender', '9', '93', 'minutes', 'unrecoverable', 'life']","['cheap', 'scam', 'put', 'together', 'cynical', 'creeps', 'revolution', 'studios', 'imagine', 'entertainment', 'make', 'suckers', 'surrender', 'minutes', 'unrecoverable', 'life']"
78103,4020,"It 's been 13 months and 295 preview screenings since I last walked out on a movie , but Resident Evil really earned my indignant , preemptive departure .",0,"['13', 'months', '295', 'preview', 'screenings', 'since', 'last', 'walked', 'movie', 'resident', 'evil', 'really', 'earned', 'indignant', 'preemptive', 'departure']","['months', 'preview', 'screenings', 'since', 'last', 'walked', 'movie', 'resident', 'evil', 'really', 'earned', 'indignant', 'preemptive', 'departure']"
82934,4282,An infuriating film .,0,"['infuriating', 'film']","['infuriating', 'film']"
37316,1771,`` Interview '' loses its overall sense of mystery and becomes a TV episode rather than a documentary that you actually buy into .,0,"['interview', 'loses', 'overall', 'sense', 'mystery', 'becomes', 'tv', 'episode', 'rather', 'documentary', 'actually', 'buy']","['interview', 'loses', 'overall', 'sense', 'mystery', 'becomes', 'episode', 'rather', 'documentary', 'actually', 'buy']"
111364,5906,"The title , alone , should scare any sane person away .",0,"['title', 'alone', 'scare', 'sane', 'person', 'away']","['title', 'alone', 'scare', 'sane', 'person', 'away']"
135569,7323,It 's not just the vampires that are damned in Queen of the Damned -- the viewers will feel they suffer the same fate .,0,"['vampires', 'damned', 'queen', 'damned', 'viewers', 'feel', 'suffer', 'fate']","['vampires', 'damned', 'queen', 'damned', 'viewers', 'feel', 'suffer', 'fate']"
108769,5758,Get out your pooper-scoopers .,0,"['get', 'pooperscoopers']",['get']
68083,3455,"A dull , inconsistent , dishonest female bonding picture .",0,"['dull', 'inconsistent', 'dishonest', 'female', 'bonding', 'picture']","['dull', 'inconsistent', 'dishonest', 'female', 'bonding', 'picture']"
67474,3426,The only entertainment you 'll derive from this choppy and sloppy affair will be from unintentional giggles -- several of them .,0,"['entertainment', 'derive', 'choppy', 'sloppy', 'affair', 'unintentional', 'giggles', 'several']","['entertainment', 'derive', 'choppy', 'sloppy', 'affair', 'unintentional', 'giggles', 'several']"
29348,1360,"After several scenes of this tacky nonsense , you 'll be wistful for the testosterone-charged wizardry of Jerry Bruckheimer productions , especially because Half Past Dead is like The Rock on a Wal-Mart budget .",0,"['several', 'scenes', 'tacky', 'nonsense', 'wistful', 'testosteronecharged', 'wizardry', 'jerry', 'bruckheimer', 'productions', 'especially', 'half', 'past', 'dead', 'like', 'rock', 'walmart', 'budget']","['several', 'scenes', 'tacky', 'nonsense', 'wistful', 'wizardry', 'productions', 'especially', 'half', 'past', 'dead', 'like', 'rock', 'budget']"
125562,6746,"Time literally stops on a dime in the tries-so-hard-to-be-cool `` Clockstoppers , '' but that does n't mean it still wo n't feel like the longest 90 minutes of your movie-going life .",0,"['time', 'literally', 'stops', 'dime', 'triessohardtobecool', 'clockstoppers', 'nt', 'mean', 'still', 'wo', 'nt', 'feel', 'like', 'longest', '90', 'minutes', 'moviegoing', 'life']","['time', 'literally', 'stops', 'dime', 'mean', 'still', 'feel', 'like', 'longest', 'minutes', 'moviegoing', 'life']"
65514,3318,"Ringu is a disaster of a story , full of holes and completely lacking in chills .",0,"['ringu', 'disaster', 'story', 'full', 'holes', 'completely', 'lacking', 'chills']","['disaster', 'story', 'full', 'holes', 'completely', 'lacking', 'chills']"
29405,1363,What might have been acceptable on the printed page of Iles ' book does not translate well to the screen .,0,"['might', 'acceptable', 'printed', 'page', 'iles', 'book', 'translate', 'well', 'screen']","['might', 'acceptable', 'printed', 'page', 'book', 'translate', 'well', 'screen']"
150075,8174,It 's a road-trip drama with too many wrong turns .,0,"['roadtrip', 'drama', 'many', 'wrong', 'turns']","['drama', 'many', 'wrong', 'turns']"
145462,7907,"By the time you reach the finale , you 're likely wondering why you 've been watching all this strutting and posturing .",0,"['time', 'reach', 'finale', 'likely', 'wondering', 'watching', 'strutting', 'posturing']","['time', 'reach', 'finale', 'likely', 'wondering', 'watching', 'strutting', 'posturing']"
139731,7582,Too bad none of it is funny .,0,"['bad', 'none', 'funny']","['bad', 'none', 'funny']"
85028,4398,"I found it slow , predictable and not very amusing .",0,"['found', 'slow', 'predictable', 'amusing']","['found', 'slow', 'predictable', 'amusing']"
43714,2120,Guilty of the worst sin of attributable to a movie like this : it 's not scary in the slightest .,0,"['guilty', 'worst', 'sin', 'attributable', 'movie', 'like', 'scary', 'slightest']","['guilty', 'worst', 'sin', 'attributable', 'movie', 'like', 'scary', 'slightest']"
71792,3663,"It is dark , brooding and slow , and takes its central idea way too seriously .",0,"['dark', 'brooding', 'slow', 'takes', 'central', 'idea', 'way', 'seriously']","['dark', 'brooding', 'slow', 'takes', 'central', 'idea', 'way', 'seriously']"
149341,8127,"The notion of deleting emotion from people , even in an advanced Prozac Nation , is so insanely dysfunctional that the rampantly designed Equilibrium becomes a concept doofus .",0,"['notion', 'deleting', 'emotion', 'people', 'even', 'advanced', 'prozac', 'nation', 'insanely', 'dysfunctional', 'rampantly', 'designed', 'equilibrium', 'becomes', 'concept', 'doofus']","['notion', 'deleting', 'emotion', 'people', 'even', 'advanced', 'nation', 'insanely', 'dysfunctional', 'rampantly', 'designed', 'equilibrium', 'becomes', 'concept']"
86688,4491,"No amount of burning , blasting , stabbing , and shooting can hide a weak script .",0,"['amount', 'burning', 'blasting', 'stabbing', 'shooting', 'hide', 'weak', 'script']","['amount', 'burning', 'blasting', 'stabbing', 'shooting', 'hide', 'weak', 'script']"
49168,2403,... what a banal bore the preachy Circuit turns out to be,0,"['banal', 'bore', 'preachy', 'circuit', 'turns']","['banal', 'bore', 'preachy', 'circuit', 'turns']"
48351,2360,You ca n't believe anyone would really buy this stuff .,0,"['ca', 'nt', 'believe', 'anyone', 'would', 'really', 'buy', 'stuff']","['believe', 'anyone', 'would', 'really', 'buy', 'stuff']"
94607,4939,"There is no psychology here , and no real narrative logic -- just a series of carefully choreographed atrocities , which become strangely impersonal and abstract .",0,"['psychology', 'real', 'narrative', 'logic', 'series', 'carefully', 'choreographed', 'atrocities', 'become', 'strangely', 'impersonal', 'abstract']","['psychology', 'real', 'narrative', 'logic', 'series', 'carefully', 'choreographed', 'atrocities', 'become', 'strangely', 'impersonal', 'abstract']"
59650,3010,"It 's a bad sign when you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over , but it 's indicative of how uncompelling the movie is unless it happens to cover your particular area of interest .",0,"['bad', 'sign', 'rooting', 'film', 'hurry', 'get', 'subjects', 'deaths', 'documentary', 'indicative', 'uncompelling', 'movie', 'unless', 'happens', 'cover', 'particular', 'area', 'interest']","['bad', 'sign', 'rooting', 'film', 'hurry', 'get', 'subjects', 'deaths', 'documentary', 'indicative', 'movie', 'unless', 'happens', 'cover', 'particular', 'area', 'interest']"
52659,2608,"The movie is so contrived , nonsensical and formulaic that , come to think of it , the day-old shelf would be a more appropriate location to store it .",0,"['movie', 'contrived', 'nonsensical', 'formulaic', 'come', 'think', 'dayold', 'shelf', 'would', 'appropriate', 'location', 'store']","['movie', 'contrived', 'nonsensical', 'formulaic', 'come', 'think', 'shelf', 'would', 'appropriate', 'location', 'store']"
101899,5364,"In all the annals of the movies , few films have been this odd , inexplicable and unpleasant .",0,"['annals', 'movies', 'films', 'odd', 'inexplicable', 'unpleasant']","['annals', 'movies', 'films', 'odd', 'inexplicable', 'unpleasant']"
128346,6906,"Eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you do n't care who fires the winning shot .",0,"['eventually', 'showdown', 'senses', 'mushy', 'peas', 'nt', 'care', 'fires', 'winning', 'shot']","['eventually', 'showdown', 'senses', 'mushy', 'peas', 'care', 'fires', 'winning', 'shot']"
125762,6757,"Once Ice-T sticks his mug in the window of the couple 's BMW and begins haranguing the wife in bad stage dialogue , all credibility flies out the window .",0,"['icet', 'sticks', 'mug', 'window', 'couple', 'bmw', 'begins', 'haranguing', 'wife', 'bad', 'stage', 'dialogue', 'credibility', 'flies', 'window']","['sticks', 'mug', 'window', 'couple', 'begins', 'haranguing', 'wife', 'bad', 'stage', 'dialogue', 'credibility', 'flies', 'window']"
90332,4702,"This is rote spookiness , with nary an original idea -LRB- or role , or edit , or score , or anything , really -RRB- in sight , and the whole of the proceedings beg the question ` Why ? '",0,"['rote', 'spookiness', 'nary', 'original', 'idea', 'lrb', 'role', 'edit', 'score', 'anything', 'really', 'rrb', 'sight', 'whole', 'proceedings', 'beg', 'question']","['rote', 'spookiness', 'nary', 'original', 'idea', 'role', 'edit', 'score', 'anything', 'really', 'sight', 'whole', 'proceedings', 'beg', 'question']"
125295,6732,"Depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it 's being .",0,"['depicts', 'sorriest', 'sordid', 'human', 'behavior', 'screen', 'laughs', 'clever']","['depicts', 'sorriest', 'sordid', 'human', 'behavior', 'screen', 'laughs', 'clever']"
60453,3053,"It could have been something special , but two things drag it down to mediocrity -- director Clare Peploe 's misunderstanding of Marivaux 's rhythms , and Mira Sorvino 's limitations as a classical actress .",0,"['could', 'something', 'special', 'two', 'things', 'drag', 'mediocrity', 'director', 'clare', 'peploe', 'misunderstanding', 'marivaux', 'rhythms', 'mira', 'sorvino', 'limitations', 'classical', 'actress']","['could', 'something', 'special', 'two', 'things', 'drag', 'mediocrity', 'director', 'misunderstanding', 'rhythms', 'limitations', 'classical', 'actress']"
68527,3478,Rarely does a film so graceless and devoid of merit as this one come along .,0,"['rarely', 'film', 'graceless', 'devoid', 'merit', 'one', 'come', 'along']","['rarely', 'film', 'graceless', 'devoid', 'merit', 'one', 'come', 'along']"
26499,1216,A crass and insulting homage to great films like Some Like It Hot and the John Wayne classics .,0,"['crass', 'insulting', 'homage', 'great', 'films', 'like', 'like', 'hot', 'john', 'wayne', 'classics']","['crass', 'insulting', 'homage', 'great', 'films', 'like', 'like', 'hot', 'john', 'classics']"
23425,1063,Crush could be the worst film a man has made about women since Valley of the Dolls .,0,"['crush', 'could', 'worst', 'film', 'man', 'made', 'women', 'since', 'valley', 'dolls']","['crush', 'could', 'worst', 'film', 'man', 'made', 'women', 'since', 'valley', 'dolls']"
134609,7264,It appears as if even the filmmakers did n't know what kind of movie they were making .,0,"['appears', 'even', 'filmmakers', 'nt', 'know', 'kind', 'movie', 'making']","['appears', 'even', 'filmmakers', 'know', 'kind', 'movie', 'making']"
124220,6670,The crap continues .,0,"['crap', 'continues']","['crap', 'continues']"
153888,8407,Terminally brain dead production .,0,"['terminally', 'brain', 'dead', 'production']","['terminally', 'brain', 'dead', 'production']"
14563,627,It 's just rather leaden and dull .,0,"['rather', 'leaden', 'dull']","['rather', 'leaden', 'dull']"
135226,7300,It does n't work as either .,0,"['nt', 'work', 'either']","['work', 'either']"
76287,3917,The first Fatal Attraction was vile enough .,0,"['first', 'fatal', 'attraction', 'vile', 'enough']","['first', 'fatal', 'attraction', 'vile', 'enough']"
8028,329,A relative letdown .,0,"['relative', 'letdown']","['relative', 'letdown']"
85386,4416,"Comes off as a long , laborious whine , the bellyaching of a paranoid and unlikable man .",0,"['comes', 'long', 'laborious', 'whine', 'bellyaching', 'paranoid', 'unlikable', 'man']","['comes', 'long', 'laborious', 'whine', 'bellyaching', 'paranoid', 'unlikable', 'man']"
129934,6995,"If that does n't clue you in that something 's horribly wrong , nothing will .",0,"['nt', 'clue', 'something', 'horribly', 'wrong', 'nothing']","['clue', 'something', 'horribly', 'wrong', 'nothing']"
2520,97,"`` Analyze That '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",0,"['analyze', 'one', 'crass', 'contrived', 'sequels', 'fails', 'makes', 'secondguess', 'affection', 'original']","['analyze', 'one', 'crass', 'contrived', 'sequels', 'fails', 'makes', 'affection', 'original']"
96791,5056,"The story is lacking any real emotional impact , and the plot is both contrived and cliched .",0,"['story', 'lacking', 'real', 'emotional', 'impact', 'plot', 'contrived', 'cliched']","['story', 'lacking', 'real', 'emotional', 'impact', 'plot', 'contrived', 'cliched']"
136807,7400,"Gaghan captures the half-lit , sometimes creepy intimacy of college dorm rooms , a subtlety that makes the silly , over-the-top coda especially disappointing .",0,"['gaghan', 'captures', 'halflit', 'sometimes', 'creepy', 'intimacy', 'college', 'dorm', 'rooms', 'subtlety', 'makes', 'silly', 'overthetop', 'coda', 'especially', 'disappointing']","['captures', 'sometimes', 'creepy', 'intimacy', 'college', 'dorm', 'rooms', 'subtlety', 'makes', 'silly', 'coda', 'especially', 'disappointing']"
6981,280,"In addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row , the dialogue sounds like horrible poetry .",0,"['addition', 'overcooked', 'hamfisted', 'direction', 'actors', 'reaching', 'back', 'row', 'dialogue', 'sounds', 'like', 'horrible', 'poetry']","['addition', 'overcooked', 'direction', 'actors', 'reaching', 'back', 'row', 'dialogue', 'sounds', 'like', 'horrible', 'poetry']"
116107,6188,"-LRB- Lee -RRB- treats his audience the same way that Jim Brown treats his women -- as dumb , credulous , unassuming , subordinate subjects .",0,"['lrb', 'lee', 'rrb', 'treats', 'audience', 'way', 'jim', 'brown', 'treats', 'women', 'dumb', 'credulous', 'unassuming', 'subordinate', 'subjects']","['lee', 'treats', 'audience', 'way', 'brown', 'treats', 'women', 'dumb', 'credulous', 'unassuming', 'subordinate', 'subjects']"
